2023-06-13 16:22:53,701 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(126, 22)> установлен цвет заливки blue
2023-06-13 16:22:53,781 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(133, 22)> установлен цвет заливки blue
2023-06-13 16:22:53,791 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(135, 22)> установлен цвет заливки blue
2023-06-13 16:22:53,801 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(136, 22)> установлен цвет заливки blue
2023-06-13 16:22:53,811 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(138, 22)> установлен цвет заливки blue
2023-06-13 16:22:54,281 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(178, 22)> установлен цвет заливки blue
2023-06-13 16:22:54,281 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(179, 22)> установлен цвет заливки blue
2023-06-13 16:22:54,291 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(180, 22)> установлен цвет заливки blue
2023-06-13 16:22:54,381 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(187, 22)> установлен цвет заливки blue
2023-06-13 16:22:54,391 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(188, 22)> установлен цвет заливки blue
2023-06-13 16:22:54,441 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(199, 22)> установлен цвет заливки blue
2023-06-13 16:22:54,451 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(201, 22)> установлен цвет заливки blue
2023-06-13 16:22:54,453 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(202, 22)> установлен цвет заливки blue
2023-06-13 16:22:54,461 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(203, 22)> установлен цвет заливки blue
2023-06-13 16:22:54,476 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(204, 22)> установлен цвет заливки blue
2023-06-13 16:22:54,481 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(205, 22)> установлен цвет заливки blue
2023-06-13 16:22:54,491 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(206, 22)> установлен цвет заливки blue
2023-06-13 16:22:54,501 - [INFO] - xlsx - (xlsx.py).set_fill(481) - Для ячейки с координатами <(207, 22)> установлен цвет заливки blue
